,clean_adm4,perc_hh_head_male,perc_pop612_primary,perc_pop1318_secondary,perc_pop18p_illiterate,perc_pop017_certificate,perc_pop017_both_parents,perc_pop2p_disability,perc_pop1017_married,perc_pop1217_birth,perc_pop1464_working,perc_pop10p_mobile_phone,perc_hh_temp_dwelling,perc_pop_5km_dist_primary,perc_pop_5km_dist_secondary,perc_pop_5km_dist_health,perc_pop_5km_dist_police,perc_hh_mosquito_net,perc_hh_piped_water,perc_hh_borehole,perc_hh_toilet,perc_hh_own_house,perc_hh_own_tv,perc_hh_bank_acc,perc_hh_subs_farm,perc_hh_less2meals,perc_hh_electricity,tot_pop_subcounty
0,Abako,77.18839656377163,73.63824242673353,23.234559579103127,37.155287927987175,40.631497389946155,89.2922232726376,19.016807102634715,5.2199186156438815,6.676275227095236,79.94824283776563,18.22846808335731,77.41998849110115,12.57646019154096,61.04750297998274,62.071038678120765,50.97945661556167,96.15929549097784,3.7758847465987095,27.780578733199064,11.052813514735501,97.63662296025319,0.7339923548029101,9.18080069053393,93.10476797237864,11.55652924493403,3.9691027169221917,24329.0
1,Abanga,74.66320899335717,49.826100039743366,8.72650882870607,56.078805427809,6.268466473627434,91.90496792142167,16.344296826207913,8.435729290864701,11.352921137795946,90.32966558791802,15.834060069267018,75.58438085505026,10.542638959859195,39.329716686538355,28.366428206438425,33.85518650996423,96.23251007778345,8.282813830693236,4.249633793220916,17.929563390677338,94.744580707432,0.5767160619996594,9.267484244592062,92.56221540907283,4.859518537443933,3.1017146425935387,17613.0
2,Abarilela,71.65930424042816,82.32402634829147,23.733902840675174,43.35242074927954,32.76375051461507,92.36102923013586,16.989201317414572,4.838435570193495,4.807571016879374,97.28009057225195,18.22431453272952,86.79486620008234,6.8652037875669,61.36218608480856,46.7047303417044,53.503305887196376,97.9249197200494,0.0793124742692466,96.87898723754631,32.313684643886376,95.0877151090984,1.20643886372993,11.167011115685467,95.39872787155208,14.410782214903252,13.117472210786332,24290.0
3,Aber,75.87523227237307,76.81537193550321,22.464649643349517,37.663891386441286,39.25041958880297,91.16631001618413,12.758754420667746,10.031097524426063,10.076580950668344,80.24004975124377,23.259290894922977,63.505002097944015,13.589875921596835,70.14828867709645,38.40697416531799,43.866702631421205,94.70410897320625,0.5606066055265839,72.61302523526943,9.453134927770785,95.48070191212611,1.5039261523706766,8.704004076005514,93.71223700773243,6.93746328597974,6.639306479649943,33366.0
4,Abia,79.00178358081584,74.05884963304318,22.057539682539684,35.89011350059737,28.72166325311487,89.26670080218467,16.557974910394265,9.301314217443249,7.072217955282471,64.88908516811743,15.700878989588666,81.60485577743643,11.67546509643284,86.22559310462536,40.93621351766513,55.317626728110596,98.82147550776584,1.9026711042840077,42.40643881208398,14.932744495647722,98.02444103089265,0.8114866018091825,9.33504864311316,94.91892814473461,21.129970984809695,4.3313492063492065,23436.0
5,Abim,77.72310432167168,71.09723761279088,31.161168276080417,41.74552794047807,14.537937312015197,81.62243153395599,18.248670254867818,3.1626088333069493,3.2492638910875415,93.22114927972139,24.570587304100048,80.6866233971822,7.270429001108122,81.21434225106854,43.90139306632895,36.55007123634637,97.63747031818902,0.5372486940003166,96.94275763811936,43.23455754313757,90.70875415545355,2.5449897103055243,25.35869083425677,89.32798796897261,59.933211967706185,3.4040683868925123,12634.0
6,Abim Town Council,77.51266891891893,79.1626456197577,34.514445479962724,27.052912395153776,57.524271901211556,85.36600069897484,15.711323392357876,5.094052889095993,3.4850186393289846,89.12064888164026,35.577527958993485,58.46003611369991,8.378593895619758,42.858306150978564,19.183987651444546,7.670474137931035,95.49522949673812,7.720759552656105,86.73029473438956,23.532688723205965,79.88814072693383,8.96399697110904,41.0951363000932,71.38642823858342,48.74946411929171,14.961422413793104,17168.0
7,Abindu Division,75.12771651331039,77.22644517805716,21.271482756198637,32.65147854182763,36.71905598089485,89.45005970358925,14.3594788227857,5.6008920418627515,10.841146308913395,75.77481913324436,40.41477839432465,54.87212895975276,1.6879679707803612,11.893278078246821,8.648479314462316,10.42083304066868,95.78294584533259,18.69850389829318,61.75244082320714,8.574341504530448,60.072135983704435,9.64923790124324,29.61754583128468,53.19766804804383,16.337451710332232,12.741111189155017,14237.0
8,Abok,78.37181211879383,69.9293222367896,16.93023428147979,38.83563814626917,37.11954625776663,90.84830416690419,21.004691329875165,8.760086644245568,7.694180014820726,94.16222424898821,16.67772900872143,78.67124209086245,9.308544718691216,90.20842501282563,51.898022003078154,43.2573904121302,95.71790457732429,4.921809268654164,25.24691329875164,10.861198198711737,96.22484751752836,1.0174542552585077,5.765405004845237,94.45215755572023,13.16658496266317,7.062235649546828,17543.0
9,Aboke,74.89387269099568,80.37302353521702,23.170382527729505,30.907169981334878,31.134476840230846,90.09212417669649,18.59946793675313,11.82847396537298,10.270567033532856,92.76310527557872,22.43172212567849,62.09167149385338,6.410182145845401,62.08056038274228,45.13941773401129,51.62438694728712,96.92175881229753,2.8938083285061467,33.1297011435069,11.695129904958057,93.51584604492503,4.011196927763833,12.644367209456995,89.46390337044903,10.541026796249813,5.822711377142735,46611.0
10,Abongomola,80.86826172160636,74.69753429465618,23.41871947117494,27.644713211851762,46.52036327473749,92.03432975518442,17.600839451285502,5.383854456111615,5.011205358448624,73.50725087016292,19.10155898095879,71.47882067331598,18.223639182193104,75.36053408991195,44.47591330544912,61.05794261312118,97.89997075082628,0.7086226564099564,73.52597034133785,5.215551785662055,96.70387259059932,0.6981777764778145,6.895378630553687,95.7653953025827,4.842616046096698,2.919784141098014,34189.0
11,Abuku,83.44450017176229,80.62992785984198,21.108560632085194,43.27226382686362,26.657320508416355,93.5451047749914,10.849666781174854,3.983950532463071,3.013768464445208,60.32567502576435,26.930917210580557,64.21218825145998,3.506973548608726,9.694297492270698,14.34618344211611,8.722569563723805,98.24146341463415,2.213225695637238,66.28961181724493,19.707859841978703,97.87962899347303,1.0017107523187907,14.07942287873583,94.22264513912745,2.819271727928547,7.126279628993474,14555.0
12,Acaba,75.27754520860032,72.27119108643029,19.15885661398263,30.585387298875126,50.920379467464045,90.85586999857611,20.78137904029617,8.188815321087855,8.638377474013954,85.09201196070056,22.335333902890504,76.09639399117187,7.123326925815179,71.28551544923822,32.309522283924245,65.97014452513172,96.29458208742702,2.5126797664815608,59.625128150363096,9.830649295173002,95.34950519720917,1.664189092980208,7.547063220845792,93.48747686173999,8.224088708529118,5.797785846504342,28092.0
13,Acholibur,71.75654651659781,82.31782305171677,30.641786579284798,41.31319276250178,41.06660492947713,86.71044308306026,17.923735574868214,6.921598518307451,11.77622168400057,81.61635560621171,20.41176805812794,83.02622880752243,13.69737854395213,57.351560051289354,30.377988317424133,50.140703803960676,95.54787006696111,0.05636130502920644,91.81762359310443,30.331671178230515,89.093845277105,2.0451203875195896,14.29024077503918,93.09519874626014,22.276079213563186,5.2430403191337795,14038.0
14,Acowa,71.93149576568315,84.88012837801392,23.600890015642698,44.18748044662603,33.48362910620853,89.8151086897891,26.024170667242032,6.801585846054264,5.581870651059927,93.96466368196775,14.74807702680835,88.65399428232375,17.221376557527375,79.42027078051674,50.75873563838395,64.8600733588651,95.4434974917741,0.1872269270187173,96.0713037380657,45.84031501159717,89.72700253519608,1.259916931873348,13.578952478558715,89.83959760504882,25.825778089433086,3.3602891202330225,18539.0
15,Adeknino,77.83375372763419,76.93827659045725,20.809051938369784,38.041879970178925,48.17936754473161,90.97690730616303,27.345048459244534,4.454771371769383,8.864941600397614,98.37473906560636,18.487779572564612,72.28955019880716,15.593675447316103,92.0799329025845,50.55670974155069,43.1870402584493,97.68892892644135,0.6755342942345924,85.88956262425448,14.147949801192842,97.80647365805169,0.6672589463220675,10.024925447316104,95.57072564612326,2.7708126242544733,6.314662027833002,16096.0
16,Adekokwok,74.96851865755687,76.77929023700479,27.214007558124983,29.730275045674098,45.002217383687466,88.33324824186,19.039249693420427,7.691676051755636,7.131383737517831,88.65096979252696,35.82226893910954,27.62175588757915,7.088725379783267,41.654623720499536,39.95303451210051,8.19123057286583,97.10728032635083,14.76066521510624,33.22758465350252,6.4682558750656955,84.20225492404334,9.665520434467053,28.824100908476613,72.49283229471682,9.951863252996972,12.752018419801287,39957.0
17,Adilang,74.88012725658479,73.30286573937062,27.17276314491467,46.24876196113249,50.662922955509515,87.63655913978495,18.768175988951366,5.012439577784354,5.185123803886752,86.64530433066982,15.417500246621287,88.05500147972774,8.333530630364013,65.59809608365394,26.20831606984315,62.01034329683338,96.11485153398442,0.42547104666074775,83.3771678011246,57.93851731281444,93.8652116010654,1.4172930847390748,10.88827562395186,94.46561605997829,36.63836440761567,3.5180428134556574,20274.0
18,Adjumani Town Council,70.93306522168601,82.40232551576216,41.1248666497333,20.967451246013606,45.71974995061102,86.9135523382158,5.562896170236785,3.1364518951260125,5.912375469195384,67.92026924053849,49.53083283944346,29.971303587051622,0.47182005475122063,1.4229277791888917,0.6043688087376174,0.9791804250275168,95.86544181977254,37.65482177631022,62.01836141450061,2.0864561284678125,73.02641887505999,12.343050263878308,50.54305590833404,43.560787966020385,9.840498969886829,29.717667146445407,35433.0
19,Adok,78.0674557534476,77.4375970074256,23.882742448774493,28.176159901736362,28.770079839204957,90.6556473675395,14.14452571045726,5.093333705544079,4.807844341466138,96.70854781977556,21.604611691139525,69.3564345932667,6.854804310200436,94.89441125565295,34.992937301099886,34.1005527329574,97.27380939087712,1.9175925408966557,63.77593099212775,12.24358215621685,94.41349450058622,1.7378035843894812,9.520160795042152,92.65934900340574,6.050979844788119,3.384741220479035,17911.0
20,Adropi,76.21270274884753,74.78305446474303,24.531586136247228,34.78118490694895,22.720010244152295,89.9226566501622,12.105130612941778,4.966877240908315,9.761285641113197,74.34955608673383,29.616680894655964,51.6825081099539,13.467893119344374,74.6077257981902,22.360457572135907,38.592957145296225,98.47701895168174,1.540643674235957,91.08912412497867,4.533976438449718,94.29562062489329,3.837749701212225,22.769677309202663,87.22329690968073,26.416621137100904,10.709185589892437,11714.0
