,data_id,event_date,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,clean_adm1,clean_adm2,clean_adm3,clean_adm4,latitude,longitude,source,source_scale,notes,fatalities
0,9426196,2022-07-28,Battles,Armed clash,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,Military Forces of Uganda (1986-),,1,14,Northern,Napak,Bokora,Kalokengel,2.3327,34.5293,URN (Uganda),National,"On 28 July 2022, a group of suspected Karamojong pastoralists attacked joint security forces of police and army guarding a kraal and stole 40 head of cattle in Lokitelarengan village, Kalokengel parish (Napak, Northern). The joint security forces were deployed to protect people with their properties. There were no casualties.",0.0
1,9426197,2022-07-28,Violence against civilians,Attack,Police Forces of Uganda (1986-),,1,Civilians (Uganda),,7,17,Eastern,Kibuku,Kibuku,Tirinyi,1.0008,33.7629,URN (Uganda),National,"On 28 July 2022, police forces fired tear gas and shattered the hand of a civilian in Tirinyi town (Kibuku, Eastern), for allegedly resisting arrest. Police forces were conducting an operation against illegal power connections when they shot the victim. He was rushed to the hospital.",0.0
2,9426003,2022-07-27,Strategic developments,Arrests,Police Forces of Uganda (1986-),,1,Civilians (Uganda),FDC: Forum for Democratic Change,7,17,Eastern,Soroti,Soroti,Soroti,1.6856,33.6164,Chimp Reports,National,"On 27 July 2022, police forces arrested the president of Forum for Democratic Change party, together with other 41 opposition politicians in Soroti city (Soroti, Eastern), for campaigning for the Forum for democratic change candidate beyond the legally mandated time.",0.0
3,9426021,2022-07-27,Protests,Peaceful protest,Protesters (Uganda),,6,,,0,60,Central,Kampala,Kampala,Kampala,0.3156,32.5656,Daily Monitor (Uganda),National,"On 27 July 2022, Persons Living with HIV (PLHIV) and civil society organisations (CSO), working with infected or affected persons, held placards at the Ministry of Health headquarters in Kampala city (Kampala, Central), over the shortage of anti-retroviral (ARV) drugs in hospitals in the last six months. [size=no report]",0.0
4,9426200,2022-07-27,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),5,Civilians (Uganda),,7,57,Western,Kabarole,Fort Portal,Fort Portal,0.6939,30.2664,URN (Uganda),National,"On 27 July 2022, a group tried to lynch a suspected murderer in Rwenkuba village, Fort Portal (Kabarole, Western). The group attacked the vehicle of a North division mayor that was transferring a suspected murderer to police, smashed the car windows, forced the suspect out of the car before killing him and burning his body to ashes . The victim allegedly killed a boda boda rider. [size=no report]",1.0
5,9426023,2022-07-26,Battles,Armed clash,Unidentified Armed Group (Uganda),,3,Police Forces of Uganda (1986-),,1,13,Eastern,Mbale,Mbale,Mbale,1.0806,34.175,Daily Monitor (Uganda),National,"On 26 July 2022, an unidentified armed men attacked three policemen on duty at a checkpoint on Mbale-Tirinyi highway, about 5km from Mbale City (Mbale, Eastern), killing one policeman and injuring another one. One suspect was arrested.",1.0
6,9426195,2022-07-26,Protests,Peaceful protest,Protesters (Uganda),Labour Group (Uganda),6,,,0,60,Northern,Arua,Arua,Arua,3.02,30.9108,URN (Uganda),National,"On 26 July 2022, more than 250 beneficiaries of the Urban Cash for Work Programme (UCWP) demonstrated at the Arua City headquarters (Arua, Northern) against the delayed release of funds for the project. [size=more than 250]",0.0
7,9426022,2022-07-25,Riots,Violent demonstration,Rioters (Uganda),,5,Civilians (Uganda),Police Forces of Uganda (1986-),7,57,Eastern,Jinja,Jinja,Jinja,0.4389,33.2031,Daily Monitor (Uganda),National,"On 25 July 2022, residents demonstrated against government inaction on rising food and fuel prices in Jinja city (Jinja, Eastern). Residents blocked roads, burnt tires and pelted motorists with stones, leaving several cars damaged and some bystanders injured. Police fired tear gas to disperse the demonstrators. 250 demonstrators were arrested and 50 were detained at Jinja Central Police Station. [size=no report]",0.0
8,9426024,2022-07-24,Riots,Mob violence,Rioters (Uganda),Vigilante Group (Uganda),5,Civilians (Uganda),,7,57,Western,Ibanda,Ibanda,Ibanda,-0.1331,30.4954,Daily Monitor (Uganda),National,"On 24 July 2022, residents attacked and killed a suspected murderer in Ibanda district (Western). [size=no report]",1.0
9,9426194,2022-07-24,Battles,Armed clash,Military Forces of Uganda (1986-),Police Forces of Uganda (1986-),1,Karamajong Ethnic Militia (Uganda),Pastoralists (Uganda),4,14,Northern,Abim,Labwor,Abim,2.7333,33.6667,URN (Uganda),National,"On 24 July 2022, military and police forces fought with Karamajong pastoralists in Apikidor village, Abim district (Northern), killing 4 pastoralists.",4.0
