,clean_adm2,lat_deg,lon_deg,is_functioning,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,usage_cap,staleness_score,cluster_size,is_complex_tech,is_installed_after_2006,is_public_management,served_population,local_population,crucialness,pressure,perc_hh_head_male,perc_pop612_primary,perc_pop1318_secondary,perc_pop18p_illiterate,perc_pop017_certificate,perc_pop017_both_parents,perc_pop2p_disability,perc_pop1017_married,perc_pop1217_birth,perc_pop1464_working,perc_pop10p_mobile_phone,perc_hh_temp_dwelling,perc_hh_mosquito_net,perc_hh_piped_water,perc_hh_borehole,perc_hh_toilet,perc_hh_own_house,perc_hh_own_tv,perc_hh_bank_acc,perc_hh_subs_farm,perc_hh_less2meals,perc_hh_electricity,total_fatalities_adm4,total_events_adm4,perc_local_served
0,ABIM,2.6397586794285717,33.71063135714286,0.7914285714285715,71.15743539,2.1007177299487143,15.788609818711429,101.23264639142857,15.307264475114286,302.64285714285717,28.338665047142857,2.0142857142857142,0.9342857142857143,0.20857142857142857,0.6371428571428571,164.26142857142858,969.6857142857143,0.2281028421455143,0.6483323813534286,76.7096462974882,69.96044511212132,27.709316752691215,40.475345288583874,40.42417797212103,85.77794433512359,16.502344958984747,4.906830744999402,4.815949352703421,91.7744463501698,23.920232163446876,76.68735488453325,97.11082405378006,2.7121568436541286,89.86940209810449,34.11108697078934,90.07159359987486,3.186982767414885,22.276671461842035,87.56908077317195,52.795936246680036,5.476763467663475,12.03,4.0528571428571425,21.931806122989407
1,ADJUMANI,3.3487454576241134,31.80621307801418,0.8421985815602837,30.89041920638298,3.4630009816698584,1.4578624181780142,39.207118303014184,12.260218377304964,285.1063829787234,27.397011774822694,1.0354609929078014,0.8102836879432624,0.3067375886524823,0.8563829787234043,170.24202127659575,818.1028368794326,0.38033914738689717,0.7454970451567375,63.0460710531496,76.11287163389251,26.139691556504868,41.426376834804806,26.775521558182945,86.93130466789191,10.6264261748282,4.565189877474306,6.7097032956499625,65.47820027616334,30.721782146778125,62.67432368788182,92.38730888762987,7.841089306609482,84.09691095441065,15.11381164367816,91.96512914105536,2.7896634730930554,20.126094378464217,67.8022016152502,19.553075918868725,8.586086368280643,0.8085106382978723,1.675531914893617,36.171984202975615
2,AGAGO,2.89949841875,33.330977385000004,0.71125,42.350772793750004,2.3472403664768127,4.1840067949815,87.88008920374999,11.51085328459375,273.1875,27.62748552125,1.0825,0.79,0.66875,0.98625,181.94,706.454375,0.41083437277455,0.7759012488250001,76.38372501856708,77.58103174250192,27.457364009199974,43.289934301238425,44.12844503467789,88.55681671709841,15.92659971148565,6.7379965735626115,7.638371633273858,86.9443683139516,18.885987041985146,78.23013489339667,96.2636308778781,1.0896769270412001,71.42358819863794,52.04987177650403,90.74897748019214,2.0675038976315427,14.529398637906427,92.47211780579698,32.35699143958985,5.990993300095104,11.91375,3.41625,40.61209820443593
3,ALEBTONG,2.238608479166667,33.22737247126437,0.7097701149425287,24.941672377011493,2.490157996959842,2.5315898520001436,39.01253210344828,31.14389361350575,254.0948275862069,25.357528969827587,1.0718390804597702,0.33620689655172414,0.43103448275862066,0.985632183908046,194.99784482758622,480.3462643678161,0.43590119418247125,0.81004980925,76.74631207344613,74.31857098759245,24.022121213873238,35.696940266478194,30.968243777289487,89.14369107018159,17.29966236295928,5.934350945625932,5.643566817680513,78.24511885023071,17.946827957220695,73.33710558615724,97.60869121999035,3.2303079498323166,29.265484765986095,13.393323937911159,96.88359124265115,0.9788871435816889,9.473921150471327,93.20531893008616,13.346719752344216,4.1709155032725285,13.420977011494253,5.955459770114943,43.25157256508604
4,AMOLATAR,1.6436457099099098,32.811683258258256,0.7357357357357357,37.08694075975976,2.8949538014813814,1.464399843783033,68.15048854354355,34.2935985975976,260.2102102102102,24.977710567567566,1.078078078078078,0.7717717717717718,0.4444444444444444,0.9669669669669669,348.7057057057057,643.4354354354355,0.5664030756156156,1.5466516474534533,78.73813688196203,77.71923127870055,25.400320836121768,26.53441384426414,51.639166767011986,90.89317090012452,20.83243051144889,7.937691306347531,8.523862465444168,86.65802489628442,26.175294751115384,63.95189249911211,96.60489184970302,1.1329997834210401,95.84191240160445,13.887199675504808,86.19422393561463,1.5631344698016876,13.244218338693289,89.2874069111137,4.75380839125475,8.876731538025423,0.0960960960960961,0.39039039039039036,56.69325516018243
5,AMUDAT,1.8548407661538462,34.90306502461539,0.7230769230769231,30.2133242,9.39354563788923,7.493373772619999,65.57397803076924,21.989138199415383,316.9230769230769,29.81818716,1.873846153846154,0.963076923076923,0.28615384615384615,0.7076923076923077,364.11384615384617,1476.7230769230769,0.36642574076,1.3113579463846154,85.78711035724001,26.34986569969224,14.226868312196194,82.48618016475776,32.45562915256019,94.38278495361666,7.050390969105294,7.774407663489261,9.178902835966722,73.23238644079328,23.177333402734494,74.36765670092554,87.07498084799909,1.4666698929786792,54.04232560262018,87.53376606243992,94.1879125480349,1.5352967489075011,6.331273819331844,82.71102930508586,19.286467272735106,1.8318307959986861,31.913846153846155,3.236923076923077,33.9234370716342
6,AMURIA,2.003397829287599,33.64467948812665,0.9050131926121372,15.213468445878627,3.7862225268509233,4.091741710849341,85.9294467414248,13.349826476939315,294.32717678100266,25.629469889182058,1.0211081794195251,0.9102902374670184,0.46437994722955145,1.0,266.0369393139842,512.2163588390501,0.558787724237467,0.9027493442216359,74.30086444409612,84.1169369702424,27.362241916902125,36.88981757087311,46.51586639421419,92.30919309523867,18.801396269696937,4.936164069728033,5.412789832058562,88.03692171271554,19.82801255848077,82.68101207091495,95.96397375306452,1.1461259296935464,82.17189789084978,19.319101109399487,93.54506538245555,1.3958097320210183,11.800022421672002,90.04748161412883,12.315582072526633,8.211869880667624,9.282321899736148,4.253298153034301,55.82908954870007
7,AMURU,2.9656245733547353,32.08353762921348,0.6709470304975923,8.388060374683787,3.271183498107544,3.024626856841846,31.275505136918134,18.627922600759227,353.8523274478331,27.143061507223113,1.0449438202247192,0.651685393258427,0.5425361155698234,0.8828250401284109,159.80096308186197,539.870786516854,0.4152534990871589,0.5325698228654895,71.72033310723707,75.67234326431839,22.61828003432686,41.8374995033198,38.95789605434145,90.47413424544865,14.200987584464706,10.16204323147361,14.999310300397008,80.06103288876142,24.024818449646418,78.7211699148271,90.61459195390596,6.597927104062237,32.141902802200676,22.783215078262398,94.08167650082432,3.257663190833184,14.014810517977185,89.68225788152496,30.7925958156007,6.3561151978224055,34.048154093097914,15.438202247191011,41.14301289147301
8,APAC,1.9346592232766338,32.47524324440466,0.6526410026857654,31.246723765443154,3.461289347948075,2.4656832416382275,55.966621817367944,14.494439826870188,251.4771709937332,34.8165851316025,1.8845120859444942,0.658012533572068,0.4888093106535363,0.7663384064458371,214.01969561324978,530.1978513876455,0.46442525190080575,0.9939095799887198,78.72040951762153,76.24220506900367,21.4279413546366,27.72371051247616,30.9426394976847,90.4426873755465,24.089593962577176,7.763002022966193,7.529007283307502,80.9516469829253,23.42258284785927,73.65831806844744,96.23811231939946,0.4007093238308075,85.78569925184165,14.320212870599866,92.05697896197638,1.210364184018478,8.700116205656524,93.28393629360868,9.390570082214081,5.797190479828754,8.199641897940912,4.743957027752909,46.53913689578893
9,ARUA,3.0229331959383035,30.954941062724938,0.8226221079691517,9.281539373989922,2.517043358484884,1.512772376359537,15.183531976755784,13.421336152596401,257.63496143958866,25.062353798457583,1.0303341902313625,0.3691516709511568,0.19691516709511567,0.9861182519280206,104.74293059125964,783.9120822622108,0.19252831640225193,0.4289407021203085,73.53055218525746,79.49299360654194,24.081152928168166,31.444660943596993,34.83067269512067,91.29129862521387,10.901618402891815,7.254784009598096,10.415272164152585,80.41455937791476,25.737375356742028,49.38266406627225,97.35921934002172,6.5461662804793725,30.060822967538414,10.591626844861738,90.51651397358492,4.2497643476287505,20.405890531444186,83.1130141590986,11.848236415499262,9.53417352807888,0.45347043701799483,1.176349614395887,19.010736511114153
